Ano,mes_nome,mes_num,taxa
1986,Jan,1,
1987,Jan,1,11.0
1988,Jan,1,16.78
1989,Jan,1,22.97
1990,Jan,1,67.6
1991,Jan,1,21.02
1992,Jan,1,29.06
1993,Jan,1,28.52
1994,Jan,1,42.76
1995,Jan,1,3.37
1996,Jan,1,2.58
1997,Jan,1,1.73
1998,Jan,1,2.67
1999,Jan,1,2.18
2000,Jan,1,1.46
2001,Jan,1,1.27
2002,Jan,1,1.53
2003,Jan,1,1.97
2004,Jan,1,1.27
2005,Jan,1,1.38
2006,Jan,1,1.43
2007,Jan,1,1.08
2008,Jan,1,0.93
2009,Jan,1,1.05
2010,Jan,1,0.66
2011,Jan,1,0.86
2012,Jan,1,0.89
2013,Jan,1,0.6
2014,Jan,1,0.85
2015,Jan,1,0.94
2016,Jan,1,1.06
2017,Jan,1,1.09
2018,Jan,1,0.58
2019,Jan,1,0.54
2020,Jan,1,0.38
2021,Jan,1,0.15
2022,Jan,1,0.73
2023,Jan,1,1.12
2024,Jan,1,0.97
1986,Fev,2,
1987,Fev,2,19.61
1988,Fev,2,18.35
1989,Fev,2,18.95
1990,Fev,2,82.04
1991,Fev,2,6.85
1992,Fev,2,28.76
1993,Fev,2,28.9
1994,Fev,2,41.99
1995,Fev,2,3.25
1996,Fev,2,2.35
1997,Fev,2,1.67
1998,Fev,2,2.13
1999,Fev,2,2.38
2000,Fev,2,1.45
2001,Fev,2,1.02
2002,Fev,2,1.25
2003,Fev,2,1.83
2004,Fev,2,1.08
2005,Fev,2,1.22
2006,Fev,2,1.15
2007,Fev,2,0.87
2008,Fev,2,0.8
2009,Fev,2,0.85
2010,Fev,2,0.59
2011,Fev,2,0.84
2012,Fev,2,0.75
2013,Fev,2,0.49
2014,Fev,2,0.79
2015,Fev,2,0.82
2016,Fev,2,1.0
2017,Fev,2,0.87
2018,Fev,2,0.47
2019,Fev,2,0.49
2020,Fev,2,0.29
2021,Fev,2,0.13
2022,Fev,2,0.76
2023,Fev,2,0.92
2024,Fev,2,0.8
1986,Mar,3,
1987,Mar,3,11.95
1988,Mar,3,16.59
1989,Mar,3,20.41
1990,Mar,3,36.76
1991,Mar,3,8.99
1992,Mar,3,26.86
1993,Mar,3,28.36
1994,Mar,3,46.42
1995,Mar,3,4.26
1996,Mar,3,2.22
1997,Mar,3,1.64
1998,Mar,3,2.2
1999,Mar,3,3.33
2000,Mar,3,1.45
2001,Mar,3,1.26
2002,Mar,3,1.37
2003,Mar,3,1.78
2004,Mar,3,1.38
2005,Mar,3,1.53
2006,Mar,3,1.42
2007,Mar,3,1.05
2008,Mar,3,0.84
2009,Mar,3,0.97
2010,Mar,3,0.76
2011,Mar,3,0.92
2012,Mar,3,0.82
2013,Mar,3,0.55
2014,Mar,3,0.77
2015,Mar,3,1.04
2016,Mar,3,1.16
2017,Mar,3,1.05
2018,Mar,3,0.53
2019,Mar,3,0.47
2020,Mar,3,0.34
2021,Mar,3,0.2
2022,Mar,3,0.93
2023,Mar,3,1.17
2024,Mar,3,0.83
1986,Abr,4,
1987,Abr,4,15.3
1988,Abr,4,20.25
1989,Abr,4,11.52
1990,Abr,4,4.23
1991,Abr,4,9.67
1992,Abr,4,23.92
1993,Abr,4,30.53
1994,Abr,4,46.49
1995,Abr,4,4.26
1996,Abr,4,2.07
1997,Abr,4,1.66
1998,Abr,4,1.71
1999,Abr,4,2.35
2000,Abr,4,1.3
2001,Abr,4,1.19
2002,Abr,4,1.48
2003,Abr,4,1.87
2004,Abr,4,1.18
2005,Abr,4,1.41
2006,Abr,4,1.08
2007,Abr,4,0.94
2008,Abr,4,0.9
2009,Abr,4,0.83
2010,Abr,4,0.67
2011,Abr,4,0.84
2012,Abr,4,0.71
2013,Abr,4,0.61
2014,Abr,4,0.82
2015,Abr,4,0.95
2016,Abr,4,1.06
2017,Abr,4,0.79
2018,Abr,4,0.52
2019,Abr,4,0.52
2020,Abr,4,0.28
2021,Abr,4,0.21
2022,Abr,4,0.83
2023,Abr,4,0.92
2024,Abr,4,0.89
1986,Mai,5,
1987,Mai,5,24.63
1988,Mai,5,18.65
1989,Mai,5,11.43
1990,Mai,5,5.69
1991,Mai,5,9.56
1992,Mai,5,23.0
1993,Mai,5,30.9
1994,Mai,5,47.95
1995,Mai,5,4.25
1996,Mai,5,2.01
1997,Mai,5,1.58
1998,Mai,5,1.63
1999,Mai,5,2.02
2000,Mai,5,1.49
2001,Mai,5,1.34
2002,Mai,5,1.41
2003,Mai,5,1.97
2004,Mai,5,1.23
2005,Mai,5,1.5
2006,Mai,5,1.28
2007,Mai,5,1.03
2008,Mai,5,0.88
2009,Mai,5,0.77
2010,Mai,5,0.75
2011,Mai,5,0.99
2012,Mai,5,0.74
2013,Mai,5,0.6
2014,Mai,5,0.87
2015,Mai,5,0.99
2016,Mai,5,1.11
2017,Mai,5,0.93
2018,Mai,5,0.52
2019,Mai,5,0.54
2020,Mai,5,0.24
2021,Mai,5,0.27
2022,Mai,5,1.03
2023,Mai,5,1.12
2024,Mai,5,0.83
1986,Jun,6,
1987,Jun,6,18.02
1988,Jun,6,20.17
1989,Jun,6,27.29
1990,Jun,6,8.73
1991,Jun,6,10.32
1992,Jun,6,24.28
1993,Jun,6,31.91
1994,Jun,6,50.62
1995,Jun,6,4.04
1996,Jun,6,1.98
1997,Jun,6,1.61
1998,Jun,6,1.6
1999,Jun,6,1.67
2000,Jun,6,1.39
2001,Jun,6,1.27
2002,Jun,6,1.33
2003,Jun,6,1.86
2004,Jun,6,1.23
2005,Jun,6,1.59
2006,Jun,6,1.18
2007,Jun,6,0.91
2008,Jun,6,0.95
2009,Jun,6,0.76
2010,Jun,6,0.79
2011,Jun,6,0.96
2012,Jun,6,0.64
2013,Jun,6,0.61
2014,Jun,6,0.82
2015,Jun,6,1.07
2016,Jun,6,1.16
2017,Jun,6,0.81
2018,Jun,6,0.52
2019,Jun,6,0.47
2020,Jun,6,0.21
2021,Jun,6,0.31
2022,Jun,6,1.02
2023,Jun,6,1.07
2024,Jun,6,0.79
1986,Jul,7,1.95
1987,Jul,7,8.91
1988,Jul,7,24.69
1989,Jul,7,33.15
1990,Jul,7,13.79
1991,Jul,7,12.39
1992,Jul,7,26.21
1993,Jul,7,32.73
1994,Jul,7,6.87
1995,Jul,7,4.02
1996,Jul,7,1.93
1997,Jul,7,1.6
1998,Jul,7,1.7
1999,Jul,7,1.66
2000,Jul,7,1.31
2001,Jul,7,1.5
2002,Jul,7,1.54
2003,Jul,7,2.08
2004,Jul,7,1.29
2005,Jul,7,1.51
2006,Jul,7,1.17
2007,Jul,7,0.97
2008,Jul,7,1.06
2009,Jul,7,0.79
2010,Jul,7,0.86
2011,Jul,7,0.97
2012,Jul,7,0.68
2013,Jul,7,0.72
2014,Jul,7,0.95
2015,Jul,7,1.18
2016,Jul,7,1.11
2017,Jul,7,0.8
2018,Jul,7,0.54
2019,Jul,7,0.57
2020,Jul,7,0.19
2021,Jul,7,0.36
2022,Jul,7,1.03
2023,Jul,7,1.07
2024,Jul,7,0.91
1986,Ago,8,2.57
1987,Ago,8,8.09
1988,Ago,8,22.63
1989,Ago,8,35.49
1990,Ago,8,11.53
1991,Ago,8,15.75
1992,Ago,8,25.65
1993,Ago,8,34.64
1994,Ago,8,4.17
1995,Ago,8,3.84
1996,Ago,8,1.97
1997,Ago,8,1.59
1998,Ago,8,1.48
1999,Ago,8,1.57
2000,Ago,8,1.41
2001,Ago,8,1.6
2002,Ago,8,1.44
2003,Ago,8,1.77
2004,Ago,8,1.29
2005,Ago,8,1.66
2006,Ago,8,1.26
2007,Ago,8,0.99
2008,Ago,8,1.01
2009,Ago,8,0.69
2010,Ago,8,0.89
2011,Ago,8,1.07
2012,Ago,8,0.69
2013,Ago,8,0.71
2014,Ago,8,0.87
2015,Ago,8,1.11
2016,Ago,8,1.22
2017,Ago,8,0.8
2018,Ago,8,0.57
2019,Ago,8,0.5
2020,Ago,8,0.16
2021,Ago,8,0.43
2022,Ago,8,1.17
2023,Ago,8,1.14
2024,Ago,8,0.87
1986,Set,9,2.94
1987,Set,9,7.99
1988,Set,9,26.25
1989,Set,9,38.58
1990,Set,9,15.21
1991,Set,9,19.78
1992,Set,9,27.66
1993,Set,9,37.23
1994,Set,9,3.83
1995,Set,9,3.32
1996,Set,9,1.9
1997,Set,9,1.59
1998,Set,9,2.49
1999,Set,9,1.49
2000,Set,9,1.22
2001,Set,9,1.32
2002,Set,9,1.38
2003,Set,9,1.68
2004,Set,9,1.25
2005,Set,9,1.5
2006,Set,9,1.06
2007,Set,9,0.8
2008,Set,9,1.1
2009,Set,9,0.69
2010,Set,9,0.85
2011,Set,9,0.94
2012,Set,9,0.54
2013,Set,9,0.71
2014,Set,9,0.91
2015,Set,9,1.11
2016,Set,9,1.11
2017,Set,9,0.64
2018,Set,9,0.47
2019,Set,9,0.46
2020,Set,9,0.16
2021,Set,9,0.44
2022,Set,9,1.07
2023,Set,9,0.97
2024,Set,9,0.84
1986,Out,10,1.96
1987,Out,10,9.45
1988,Out,10,29.79
1989,Out,10,47.7
1990,Out,10,16.49
1991,Out,10,25.95
1992,Out,10,28.18
1993,Out,10,38.4
1994,Out,10,3.62
1995,Out,10,3.09
1996,Out,10,1.86
1997,Out,10,1.67
1998,Out,10,2.94
1999,Out,10,1.38
2000,Out,10,1.29
2001,Out,10,1.53
2002,Out,10,1.65
2003,Out,10,1.64
2004,Out,10,1.21
2005,Out,10,1.41
2006,Out,10,1.09
2007,Out,10,0.93
2008,Out,10,1.17
2009,Out,10,0.69
2010,Out,10,0.81
2011,Out,10,0.88
2012,Out,10,0.61
2013,Out,10,0.81
2014,Out,10,0.95
2015,Out,10,1.11
2016,Out,10,1.05
2017,Out,10,0.64
2018,Out,10,0.54
2019,Out,10,0.48
2020,Out,10,0.16
2021,Out,10,0.49
2022,Out,10,1.02
2023,Out,10,1.0
2024,Out,10,0.93
1986,Nov,11,2.37
1987,Nov,11,12.92
1988,Nov,11,28.41
1989,Nov,11,48.41
1990,Nov,11,19.83
1991,Nov,11,32.43
1992,Nov,11,26.4
1993,Nov,11,38.38
1994,Nov,11,4.07
1995,Nov,11,2.88
1996,Nov,11,1.8
1997,Nov,11,3.04
1998,Nov,11,2.63
1999,Nov,11,1.39
2000,Nov,11,1.22
2001,Nov,11,1.39
2002,Nov,11,1.54
2003,Nov,11,1.34
2004,Nov,11,1.25
2005,Nov,11,1.38
2006,Nov,11,1.02
2007,Nov,11,0.84
2008,Nov,11,1.01
2009,Nov,11,0.66
2010,Nov,11,0.81
2011,Nov,11,0.86
2012,Nov,11,0.55
2013,Nov,11,0.72
2014,Nov,11,0.84
2015,Nov,11,1.06
2016,Nov,11,1.04
2017,Nov,11,0.57
2018,Nov,11,0.49
2019,Nov,11,0.38
2020,Nov,11,0.15
2021,Nov,11,0.59
2022,Nov,11,1.02
2023,Nov,11,0.92
2024,Nov,11,0.79
1986,Dez,12,5.47
1987,Dez,12,14.38
1988,Dez,12,30.24
1989,Dez,12,64.21
1990,Dez,12,22.86
1991,Dez,12,31.17
1992,Dez,12,25.92
1993,Dez,12,40.38
1994,Dez,12,3.8
1995,Dez,12,2.78
1996,Dez,12,1.8
1997,Dez,12,2.97
1998,Dez,12,2.4
1999,Dez,12,1.6
2000,Dez,12,1.2
2001,Dez,12,1.39
2002,Dez,12,1.74
2003,Dez,12,1.37
2004,Dez,12,1.48
2005,Dez,12,1.47
2006,Dez,12,0.99
2007,Dez,12,0.84
2008,Dez,12,1.12
2009,Dez,12,0.73
2010,Dez,12,0.93
2011,Dez,12,0.91
2012,Dez,12,0.55
2013,Dez,12,0.79
2014,Dez,12,0.96
2015,Dez,12,1.16
2016,Dez,12,1.12
2017,Dez,12,0.54
2018,Dez,12,0.49
2019,Dez,12,0.37
2020,Dez,12,0.16
2021,Dez,12,0.77
2022,Dez,12,1.12
2023,Dez,12,0.89
2024,Dez,12,0.93
